2021.10.22_13.42.21; AT01: 23.4; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.43.07; AT01: 23.3; AH01: 39.0; AT02: 23.6; AH02: 40.0
2021.10.22_13.43.47; AT01: 23.2; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.44.28; AT01: 23.4; AH01: 39.0; AT02: 23.6; AH02: 40.0
2021.10.22_13.45.06; AT01: 23.2; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.45.47; AT01: 23.4; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.46.31; AT01: 23.3; AH01: 39.0; AT02: 23.4; AH02: 40.0
2021.10.22_13.47.19; AT01: 23.3; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.48.05; AT01: 23.4; AH01: 39.0; AT02: 23.8; AH02: 39.0
2021.10.22_13.49.12; AT01: 23.5; AH01: 39.0; AT02: 23.8; AH02: 39.0
2021.10.22_13.50.12; AT01: 23.4; AH01: 39.0; AT02: 23.8; AH02: 40.0
2021.10.22_13.50.47; AT01: 23.8; AH01: 38.0; AT02: 23.6; AH02: 40.0
2021.10.22_13.51.49; AT01: 23.4; AH01: 38.0; AT02: 23.6; AH02: 40.0
2021.10.22_13.52.44; AT01: 23.5; AH01: 38.0; AT02: 23.6; AH02: 40.0
2021.10.22_13.53.37; AT01: 23.6; AH01: 38.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.54.20; AT01: 23.5; AH01: 38.0; AT02: 23.9; AH02: 40.0
2021.10.22_13.55.23; AT01: 23.5; AH01: 38.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.56.14; AT01: 23.5; AH01: 38.0; AT02: 23.8; AH02: 39.0
2021.10.22_13.57.03; AT01: 23.4; AH01: 39.0; AT02: 23.7; AH02: 35.0
2021.10.22_13.57.49; AT01: 23.3; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.58.24; AT01: 23.3; AH01: 39.0; AT02: 23.6; AH02: 40.0
2021.10.22_13.59.02; AT01: 23.4; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_13.59.47; AT01: 23.5; AH01: 38.0; AT02: 23.5; AH02: 40.0
2021.10.22_14.00.39; AT01: 23.6; AH01: 38.0; AT02: 23.6; AH02: 40.0
2021.10.22_14.01.24; AT01: 23.3; AH01: 39.0; AT02: 23.5; AH02: 40.0
2021.10.22_14.02.03; AT01: 23.4; AH01: 38.0; AT02: 23.8; AH02: 40.0
2021.10.22_14.02.52; AT01: 23.4; AH01: 39.0; AT02: 23.8; AH02: 39.0
2021.10.22_14.03.37; AT01: 23.6; AH01: 38.0; AT02: 23.5; AH02: 40.0
2021.10.22_14.04.35; AT01: 23.6; AH01: 38.0; AT02: 23.5; AH02: 40.0
2021.10.22_14.05.16; AT01: 23.4; AH01: 38.0; AT02: 23.7; AH02: 39.0
