2021.08.09_09.53.05; C01: 343; C02: 369
2021.08.09_09.54.07; C01: 344; C02: 368
2021.08.09_09.55.03; C01: 343; C02: 367
2021.08.09_09.55.51; C01: 343; C02: 367
2021.08.09_09.56.37; C01: 343; C02: 368
2021.08.09_09.57.16; C01: 343; C02: 367
2021.08.09_09.57.52; C01: 343; C02: 368
2021.08.09_09.58.32; C01: 343; C02: 367
2021.08.09_09.59.11; C01: 343; C02: 368
2021.08.09_10.00.10; C01: 343; C02: 368
2021.08.09_10.01.31; C01: 342; C02: 368
2021.08.09_10.02.43; C01: 346; C02: 371
2021.08.09_10.03.49; C01: 342; C02: 368
2021.08.09_10.05.05; C01: 343; C02: 367
2021.08.09_10.05.44; C01: 343; C02: 368
2021.08.09_10.06.29; C01: 342; C02: 369
2021.08.09_10.07.07; C01: 343; C02: 368
2021.08.09_10.08.35; C01: 340; C02: 370
2021.08.09_10.09.27; C01: 343; C02: 371
2021.08.09_10.10.19; C01: 343; C02: 370
2021.08.09_10.10.59; C01: 341; C02: 372
2021.08.09_10.11.44; C01: 342; C02: 372
2021.08.09_10.12.38; C01: 342; C02: 372
2021.08.09_10.13.16; C01: 342; C02: 372
2021.08.09_10.13.56; C01: 342; C02: 372
2021.08.09_10.14.38; C01: 342; C02: 369
2021.08.09_10.15.15; C01: 342; C02: 371
2021.08.09_10.16.17; C01: 340; C02: 371
2021.08.09_10.16.57; C01: 342; C02: 371
2021.08.09_10.18.14; C01: 342; C02: 371
2021.08.09_10.19.03; C01: 342; C02: 371
2021.08.09_10.19.51; C01: 342; C02: 370
2021.08.09_10.20.27; C01: 341; C02: 371
2021.08.09_10.21.11; C01: 341; C02: 370
2021.08.09_10.22.04; C01: 341; C02: 370
2021.08.09_10.22.50; C01: 341; C02: 370
2021.08.09_10.23.40; C01: 342; C02: 370
2021.08.09_10.24.26; C01: 342; C02: 370
2021.08.09_10.25.20; C01: 341; C02: 370
2021.08.09_10.26.20; C01: 341; C02: 370
2021.08.09_10.26.59; C01: 341; C02: 370
2021.08.09_10.27.45; C01: 341; C02: 369
2021.08.09_10.28.25; C01: 339; C02: 371
2021.08.09_10.29.07; C01: 341; C02: 370
2021.08.09_10.29.46; C01: 341; C02: 370
2021.08.09_10.31.02; C01: 341; C02: 371
2021.08.09_10.31.55; C01: 341; C02: 371
2021.08.09_10.32.39; C01: 341; C02: 371
2021.08.09_10.33.32; C01: 340; C02: 372
2021.08.09_10.34.20; C01: 341; C02: 371
2021.08.09_10.35.03; C01: 341; C02: 371
2021.08.09_10.35.41; C01: 340; C02: 371
2021.08.09_10.36.20; C01: 341; C02: 371
2021.08.09_10.37.07; C01: 341; C02: 370
2021.08.09_10.37.57; C01: 340; C02: 371
2021.08.09_10.38.40; C01: 341; C02: 371
2021.08.09_10.39.29; C01: 339; C02: 369
2021.08.09_10.40.03; C01: 340; C02: 370
2021.08.09_10.40.53; C01: 340; C02: 370
2021.08.09_10.41.41; C01: 341; C02: 369
